GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SimplePing,com.tech.app.model,ReportObject,38,19,0,0,7,9,5,5,5,5
SimplePing,com.tech.app.model,PingResult,18,15,0,0,8,6,5,2,5,2
SimplePing,com.tech.app.model,Host,7,18,0,0,3,7,2,3,2,3
SimplePing,com.tech.app.exception,HTTPRequestException,9,3,0,0,4,2,2,1,2,1
SimplePing,com.tech.app.exception,UnixCommandException,9,3,0,0,4,2,2,1,2,1
SimplePing,com.tech.app.exception,GeneralPingException,12,0,0,0,6,0,3,0,3,0
SimplePing,com.tech.app.service,UnixCommandService,101,4,10,0,25,1,9,1,4,1
SimplePing,com.tech.app.service,HTTPRequestService,66,124,5,9,12,45,3,11,0,7
SimplePing,com.tech.app.service,CacheService,0,85,0,6,0,23,0,9,0,6
SimplePing,com.tech.app.task,MasterPingTask,100,0,8,0,28,0,9,0,5,0
SimplePing,com.tech.app,App,36,0,2,0,7,0,3,0,2,0
SimplePing,com.tech.app,AppUtils,3,9,1,3,2,3,2,2,1,1
SimplePing,com.tech.app,AppConstants,42,91,6,2,7,25,5,2,1,2
SimplePing,com.tech.app.thread,TCPPingThread,4,97,0,4,2,23,1,5,1,3
SimplePing,com.tech.app.thread,ICMPPingThread,11,110,1,9,5,36,2,8,1,4
SimplePing,com.tech.app.thread,TracertThread,4,51,0,0,2,13,1,3,1,3
SimplePing,com.tech.app.thread,AbstractPingThread,32,137,1,9,10,37,4,9,3,5
